clase,llave,descripcion,base_gravable_pct,tarifa_pct,base_minima,cuentas_contables,conceptos
RTESERV,1025,"SERV HOTEL,REST. y HOSPE 3,5% S BASE PJU",100.0,3.5,0.0,"23652505        SERVIC HOTELES, REST. Y HOSP",Compra de servicios | Nota débito de servicios - compra
RTESERV,1046,"SERV HOTEL,REST. y HOSPE 3,5% S BASE PNA",100.0,3.5,0.0,"23652513        SERVIC HOTELES, REST. Y HOSP",Compra de servicios | Nota débito de servicios - compra
RTESERV,1012,"SERVICIO DE HOTELES, REST.HOSPE 3,5% P.J",100.0,3.5,100000.0,"23652505        SERVIC HOTELES, REST. Y HOSP",Compra de servicios | Nota débito de servicios - compra
RTESERV,1043,"SERVICIO DE HOTELES, REST.HOSPE 3,5% P.N",100.0,3.5,100000.0,"23652513        SERVIC HOTELES, REST. Y HOSP",Compra de servicios | Nota débito de servicios - compra
RTESERV,1028,SERVICIO DE TRANSPORTE DE CARGA 1%,100.0,1.0,100000.0,23652502        SERVICIOS TRANSPORTE 1% PERSO,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1042,SERVICIO DE TRANSPORTE DE CARGA 1% P. NA,100.0,1.0,0.0,23652511        SERVICIOS TRANSPORTE 1% PERSO,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1006,SERVICIO DE TRANSPORTE DE CARGA 1% P.JUR,100.0,1.0,100000.0,23652502        SERVICIOS TRANSPORTE 1% PERSO,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1004,SERVICIOS 4% PERSONA JURIDICA,100.0,4.0,133000.0,23652504        SERVICIOS GENERALES 4% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1041,SERVICIOS 4% PERSONA NATURAL DECLARANTE,100.0,4.0,100000.0,23652512        SERVICIOS GENERALES 4% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1020,SERVICIOS 4% SIN BASE PERSONA  JURIDICA,100.0,4.0,0.0,23652504        SERVICIOS GENERALES 4% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1045,SERVICIOS 4% SIN BASE PERSONA  NATURAL,100.0,4.0,0.0,23652512        SERVICIOS GENERALES 4% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1005,SERVICIOS 6% PERSONA NATURAL,100.0,6.0,100000.0,23652501        SERVICIOS GENERALES 6% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1026,SERVICIOS 6% SIN BASE PN,100.0,6.0,0.0,23652501        SERVICIOS GENERALES 6% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1021,SERVICIOS 6% SIN BASE PN,100.0,6.0,0.0,23652501        SERVICIOS GENERALES 6% PERSON,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
RTESERV,1019,SERVICIOS ASEO Y VIGILA 2%(AIU 10%)P JUR,10.0,2.0,100000.0,23652508        SERVICIOS ASEO Y VIGIL. 2%(AI,Compra de servicios | Nota débito de servicios - compra
RTESERV,1008,SERVICIOS DE ASEO Y VIGILANCIA 2% PJURID,100.0,2.0,133000.0,23652503        SERVICIOS DE ASEO Y VIGILANCI,Compra de servicios | Nota débito de servicios - compra
RTESERV,1024,SERVICIOS INTREGRALES DE SALUD 2% PJURID,100.0,2.0,100000.0,23652509        SERVICIOS INTEGRALES DE SALUD,Compra de servicios | Nota débito de servicios - compra
RTESERV,1048,SERVICIOS LICENCIAMIENTO SOFTW PJ 3.5%,100.0,3.5,0.0,23652516        SERVICIOS LICENCIAMIENTO SOFT,Compra de servicios | Nota débito de servicios - compra
RTESERV,1007,SERVICIOS TEMPORALES DE EMPLEO 1% PJURID,100.0,1.0,133000.0,23652507        SERVICIOS TEMPORALES DE EMPLE,Compra de servicios | Nota débito de servicios - compra
RTESERV,1051,SERVICIOS TRANS NAL DE PASAJEROS 3.5% PN,100.0,3.5,0.0,23652515        SERVICIOS TRANS NAL DE PASAJE,Compra de servicios
