clase,llave,descripcion,base_gravable_pct,tarifa_pct,base_minima,cuentas_contables,conceptos
ICA,3068,RETE ICA SERVICIOS 10 CALI,100.0,1.0,0.0,23680339        RETE ICA SERVICIOS 10 CALI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3070,RETE ICA SERVICIOS 10 SALENTO,100.0,1.0,0.0,23680341        RETE ICA SERVICIOS 10 SALENTO,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3078,RETE ICA SERVICIOS 10 TUNJA,100.0,1.0,0.0,23680344        RETE ICA SERVICIOS 10 TUNJA,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3083,RETE ICA SERVICIOS 10.0 ARMENIA,100.0,1.0,0.0,23680327        RETE ICA SERVICIOS 10.0 ARMEN,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3057,RETE ICA SERVICIOS 11.04 BOGOTA,100.0,1.104,0.0,23680331        RETE ICA SERVICIOS 11.04 BOGO,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3073,RETE ICA SERVICIOS 12.05 PEREIRA,100.0,1.205,0.0,23680347        RETE ICA SERVICIOS 12.05 PERE,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3066,RETE ICA SERVICIOS 12.5 BARRANQUILLA,100.0,1.25,0.0,23680337        RETE ICA SERVICIOS 12.5 BARRA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3056,RETE ICA SERVICIOS 13.8 BOGOTA,100.0,1.38,0.0,23680311        RETE ICA SERVICIOS 13.8 BOGOT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3081,RETE ICA SERVICIOS 3.3 CALI,100.0,0.33,0.0,23680352        RETE ICA SERVICIOS 3.3 CALI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3037,RETE ICA SERVICIOS 4.14 BOGOTA,100.0,0.414,0.0,23680321        RETE ICA SERVICIOS 4.14 BOGOT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3062,RETE ICA SERVICIOS 4.815 CARTAGENA,100.0,0.4815,0.0,23680335        RETE ICA SERVICIOS 4.815 CART,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
